Iteration	Epoch	Training Accuracy	Validation Accuracy	Validation Loss
0	1	0,4	0,2	8,991963
5	1	0,3	0,15	1,6447216
10	1	0,6	0,4	1,121299
12	2	0,55	0,6	1,0719475
15	2	0,5	0,55	1,0289282
20	2	0,4	0,35	1,1941763
24	3	0,55	0,6	1,0143696
25	3	0,4	0,35	1,2109846
30	3	0,35	0,55	1,0422633
35	3	0,6	0,4	1,0924203
36	4	0,55	0,6	0,9807886
40	4	0,45	0,35	1,0939287
45	4	0,5	0,65	1,003507
48	5	0,55	0,6	0,96156275
50	5	0,4	0,35	1,091933
55	5	0,6	0,35	1,0756185
60	6	0,55	0,6	0,8792075
65	6	0,6	0,55	1,0256377
70	6	0,6	0,5	0,9825455
72	7	0,65	0,75	0,7248291
75	7	0,8	0,7	0,612553
80	7	0,5	0,6	0,78757846
84	8	0,7	0,75	0,64448535
85	8	0,55	0,45	0,93206567
90	8	0,5	0,7	0,78423786
95	8	0,75	0,8	0,68970007
96	9	0,8	0,8	0,5441839
100	9	0,65	0,6	0,9342701
105	9	0,7	0,75	0,8336474
108	10	0,6	0,7	0,6185197
110	10	0,5	0,7	0,7768404
115	10	0,8	0,55	0,9182251
120	11	0,65	0,7	0,82965374
125	11	0,65	0,6	0,8892825
130	11	0,65	0,5	1,0496209
132	12	0,75	0,75	0,59445953
135	12	0,75	0,85	0,6183712
140	12	0,45	0,6	0,89777267
144	13	0,7	0,75	0,63757604
145	13	0,85	0,65	0,936055
150	13	0,5	0,65	0,7434102
155	13	0,75	0,75	0,7025739
156	14	0,85	0,65	0,6855463
160	14	0,9	0,4	0,9487481
165	14	0,65	0,7	0,7641713
168	15	0,65	0,7	0,6790383
170	15	0,6	0,75	0,7079649
175	15	0,8	0,6	1,0639443
180	16	0,8	0,65	0,60495424
185	16	0,7	0,85	0,59734917
190	16	0,8	0,55	0,9311514
192	17	0,9	0,65	0,7415687
195	17	0,8	0,65	0,6989467
